                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                   1.31,                 1.7639,                 1.6281,                0.46444,                0.47207,                0.43934,                0.23389,                 1.5829,                 2.9177,                 2.0075,             0.00096581,             0.00096581,             0.00096581
                     36,                 1.1607,                 1.5876,                 1.5153,                 0.4203,                0.41345,                0.39105,                0.24622,                 1.7531,                 3.0525,                 2.4479,             0.00096141,             0.00096141,             0.00096141
                     37,                 1.0997,                 1.4997,                 1.4855,                0.76172,                 0.4375,                0.57061,                0.37619,                 1.2874,                 2.6002,                 1.8175,             0.00095702,             0.00095702,             0.00095702
                     38,                  1.166,                 1.6732,                 1.4986,                0.88344,                0.62494,                0.65458,                0.41172,                  1.524,                 2.1937,                 2.0013,             0.00095262,             0.00095262,             0.00095262
                     39,                 1.1068,                  1.455,                 1.4521,                 0.3748,                0.74859,                0.57775,                 0.3782,                 1.4817,                 1.7356,                 2.1518,             0.00094822,             0.00094822,             0.00094822
                     40,                 1.0412,                 1.3222,                 1.4063,                0.49257,                  0.725,                0.64842,                0.37551,                 1.4327,                  1.801,                 1.8658,             0.00094382,             0.00094382,             0.00094382
                     41,                 1.1154,                 1.5206,                 1.4393,                0.43306,                0.75497,                0.61435,                0.31828,                 1.5353,                 1.8401,                 1.9761,             0.00093942,             0.00093942,             0.00093942
                     42,                  1.103,                 1.4329,                 1.4624,                0.68001,                0.63876,                0.67172,                0.41106,                 1.4327,                 1.8758,                 1.8676,             0.00093502,             0.00093502,             0.00093502
                     43,                 1.1318,                 1.4803,                  1.478,                 0.8667,                0.60374,                0.74379,                0.51666,                 1.1475,                 1.7735,                 1.6553,             0.00093062,             0.00093062,             0.00093062
                     44,                 1.0369,                 1.3297,                 1.3987,                0.97653,                  0.625,                0.72658,                0.51703,                 1.2956,                 2.0729,                 1.7813,             0.00092622,             0.00092622,             0.00092622
                     45,                 1.0328,                 1.3645,                 1.4013,                0.71796,                0.45134,                0.65769,                0.33304,                  1.703,                 2.7537,                 2.3661,             0.00092182,             0.00092182,             0.00092182
                     46,                0.94263,                 1.2797,                 1.3606,                0.84566,                0.54209,                0.67801,                0.41183,                 1.3924,                 2.5889,                 2.0287,             0.00091742,             0.00091742,             0.00091742
                     47,                 1.0989,                 1.5017,                 1.4513,                0.66795,                 0.6645,                0.64269,                0.38835,                 1.4349,                 2.5633,                 1.9927,             0.00091302,             0.00091302,             0.00091302
                     48,                 1.0267,                 1.4203,                 1.4041,                0.91492,                 0.4375,                0.59993,                0.44357,                 1.4649,                 2.5491,                 2.0745,             0.00090862,             0.00090862,             0.00090862
                     49,                 1.0463,                 1.3763,                 1.3986,                0.40691,                0.65282,                0.59564,                0.43644,                 1.5955,                 1.9765,                 2.0827,             0.00090422,             0.00090422,             0.00090422
                     50,                 1.0235,                 1.3575,                 1.4152,                0.58488,                   0.55,                0.55422,                0.39396,                 1.8091,                 2.2609,                 2.5814,             0.00089982,             0.00089982,             0.00089982
                     51,                 1.0276,                 1.2915,                 1.3908,                0.85572,                  0.425,                0.63486,                0.48124,                 1.2157,                 1.9635,                 1.6649,             0.00089542,             0.00089542,             0.00089542
                     52,                0.92295,                 1.2445,                 1.3185,                0.51794,                  0.775,                0.70098,                0.50004,                 1.3709,                 1.6743,                 1.8861,             0.00089102,             0.00089102,             0.00089102
                     53,                0.93528,                 1.2161,                 1.3707,                0.64069,                 0.5625,                0.73474,                0.48871,                 1.2073,                 1.4973,                 2.0116,             0.00088662,             0.00088662,             0.00088662
                     54,                0.91505,                 1.2066,                 1.3198,                 0.8661,                0.77026,                0.92759,                0.52982,                 1.2906,                 1.5909,                 1.8218,             0.00088222,             0.00088222,             0.00088222
                     55,                0.97827,                 1.2837,                 1.3428,                0.76414,                 0.7875,                  0.814,                0.48678,                 1.5344,                 1.6222,                 2.0701,             0.00087782,             0.00087782,             0.00087782
                     56,                0.96814,                 1.2508,                 1.3524,                0.48755,                0.71545,                 0.7462,                0.40481,                 1.6239,                 2.2299,                 2.2765,             0.00087342,             0.00087342,             0.00087342
                     57,                0.98393,                 1.2526,                 1.3832,                0.72796,                0.50481,                 0.6133,                0.33401,                 1.6235,                 2.3681,                 2.1559,             0.00086902,             0.00086902,             0.00086902
                     58,                 1.0057,                 1.2533,                 1.3721,                0.37847,                   0.77,                0.52575,                0.35103,                 1.4673,                 1.9732,                 2.0635,             0.00086462,             0.00086462,             0.00086462
                     59,                0.93367,                 1.1763,                 1.3296,                 0.6398,                 0.7125,                0.69045,                0.43866,                 1.6571,                 1.5193,                 2.2454,             0.00086023,             0.00086023,             0.00086023
                     60,                 1.0283,                 1.2837,                 1.3784,                 0.6668,                0.70394,                0.75676,                0.45771,                 1.5718,                  1.496,                 1.9433,             0.00085583,             0.00085583,             0.00085583
                     61,                  0.952,                 1.2621,                 1.3301,                0.68807,                 0.6125,                0.67292,                0.35607,                 1.4412,                 1.8776,                 2.0854,             0.00085143,             0.00085143,             0.00085143
                     62,                0.93001,                  1.315,                 1.3168,                0.61603,                  0.675,                0.69385,                0.50472,                 1.0925,                 1.7592,                  1.631,             0.00084703,             0.00084703,             0.00084703
                     63,                0.88064,                 1.1667,                 1.2817,                0.51838,                0.66073,                0.63278,                0.46951,                 1.1946,                 1.8594,                 1.5983,             0.00084263,             0.00084263,             0.00084263
                     64,                 0.9073,                 1.1588,                 1.2775,                0.66945,                0.77659,                0.69446,                0.49774,                 1.0645,                 1.6962,                  1.507,             0.00083823,             0.00083823,             0.00083823
                     65,                0.93044,                 1.1311,                  1.317,                0.43298,                  0.675,                0.58186,                0.48346,                 1.0515,                 1.7145,                 1.5471,             0.00083383,             0.00083383,             0.00083383
                     66,                0.87664,                 1.0843,                 1.2905,                0.74965,                0.71624,                0.72278,                0.51557,                 1.1603,                 1.5842,                 1.7138,             0.00082943,             0.00082943,             0.00082943
                     67,                0.94322,                 1.1847,                 1.3367,                0.78278,                0.65278,                0.72718,                0.48752,                 1.3128,                 1.9686,                 1.9149,             0.00082503,             0.00082503,             0.00082503
                     68,                0.83364,                 1.0648,                 1.2842,                0.81052,                 0.6125,                0.62658,                0.45961,                 1.2351,                 1.9284,                 1.8357,             0.00082063,             0.00082063,             0.00082063
                     69,                0.84941,                 1.0793,                  1.313,                0.69525,                 0.5375,                0.63354,                0.42765,                 1.3597,                 1.8119,                 1.8595,             0.00081623,             0.00081623,             0.00081623
                     70,                0.90893,                 1.1731,                 1.2985,                0.77929,                 0.4875,                 0.5762,                0.41293,                 1.2334,                 1.7954,                 1.6951,             0.00081183,             0.00081183,             0.00081183
                     71,                0.84842,                 1.0595,                  1.264,                0.67256,                0.57948,                0.66403,                0.47945,                 1.2399,                 1.6164,                 1.7064,             0.00080743,             0.00080743,             0.00080743
                     72,                0.81938,                 1.0153,                 1.2335,                0.45333,                   0.65,                0.65176,                0.49378,                 1.0878,                 1.5764,                 1.5771,             0.00080303,             0.00080303,             0.00080303
                     73,                0.79431,                 1.0722,                 1.2102,                0.82072,                0.66428,                0.86044,                0.59719,                 1.0062,                 1.0406,                 1.4103,             0.00079863,             0.00079863,             0.00079863
                     74,                0.74742,                 0.9814,                 1.1968,                0.77894,                  0.675,                0.78645,                0.54992,                 1.0524,                 1.3206,                 1.4437,             0.00079423,             0.00079423,             0.00079423
                     75,                0.81935,                 1.0217,                 1.2683,                0.76465,                0.70493,                0.76507,                 0.5055,                 1.3917,                 1.5119,                 1.8051,             0.00078983,             0.00078983,             0.00078983
                     76,                0.80129,                0.99369,                  1.196,                0.74335,                 0.8123,                0.84049,                0.57676,                 1.2607,                 1.2985,                 1.7468,             0.00078543,             0.00078543,             0.00078543
                     77,                 0.7555,                0.96949,                 1.2083,                0.73329,                0.76751,                0.83369,                0.57053,                 1.1694,                  1.327,                 1.6666,             0.00078103,             0.00078103,             0.00078103
